season,week,week_label,schedule_date,side,team,opponent,decimal_odds,ml,market_prob_nv,model_prob,ev,edge,won,week_order,game_id,stake,profit,bankroll,team_score,opponent_score,status,status_short,result,bankroll_after,bankroll_week_final,week_is_final
2024,9,Week 9,2024-11-03 00:00:00+00:00,away,WAS,NYG,1.738902330222248,-135.4,0.5487943955959131,0.611710431450044,0.0637046946697381,0.0629160358541308,1.0,8,Week 9 | NYG_WAS,14.84,10.97,1000.0,,,,,,,,False
2024,9,Week 9,2024-11-04 00:00:00+00:00,home,KC,TB,1.379798974123309,-263.8,0.6858952612556822,0.7980093705531993,0.1010925108300919,0.112114109297517,1.0,8,Week 9 | KC_TB,57.41,21.8,1000.0,,,,,,,,False
2024,10,Week 10,2024-11-07 00:00:00+00:00,home,BAL,CIN,1.877444657746569,-114.1,0.5052122702821185,0.6725606542203828,0.2626954072765952,0.1673483839382643,1.0,9,Week 10 | BAL_CIN,67.59,59.31,1000.0,,,,,,,,False
2024,10,Week 10,2024-11-10 00:00:00+00:00,away,ATL,NO,2.222846084374696,-81.8,0.4284047153971853,0.6181850277461505,0.3741301683445932,0.1897803123489652,0.0,9,Week 10 | ATL_NO,67.59,-67.59,1000.0,,,,,,,,False
2024,10,Week 10,2024-11-10 00:00:00+00:00,away,BUF,IND,2.071910140006397,-93.3,0.4601462607451919,0.753005299807521,0.5601593161497598,0.292859039062329,1.0,9,Week 10 | BUF_IND,67.59,72.45,1000.0,,,,,,,,False
2024,10,Week 10,2024-11-10 00:00:00+00:00,away,NYG,CAR,1.9168124297825808,-116.1818181818182,0.5011246115545408,0.7006539521871729,0.343022204528663,0.199529340632632,0.0,9,Week 10 | CAR_NYG,67.59,-67.59,1000.0,,,,,,,,False
2024,10,Week 10,2024-11-10 00:00:00+00:00,home,CHI,NE,1.825857750586376,-121.2,0.5174613130466051,0.7312936495931206,0.3352381780641966,0.2138323365465154,0.0,9,Week 10 | CHI_NE,67.59,-67.59,1000.0,,,,,,,,False
2024,10,Week 10,2024-11-10 00:00:00+00:00,home,KC,DEN,1.6589989005405203,-151.9,0.5677437791066389,0.7880178342171741,0.3073207205726138,0.2202740551105352,1.0,9,Week 10 | DEN_KC,67.59,44.54,1000.0,,,,,,,,False
2024,10,Week 10,2024-11-10 00:00:00+00:00,away,DET,HOU,2.0647571533967044,-94.0,0.461427244663285,0.6881446996583382,0.4208516911915806,0.2267174549950532,1.0,9,Week 10 | DET_HOU,67.59,71.97,1000.0,,,,,,,,False
2024,10,Week 10,2024-11-10 00:00:00+00:00,home,LAC,TEN,1.5934132781225192,-169.0,0.5921032505581854,0.77971407754336,0.2424067642966413,0.1876108269851746,1.0,9,Week 10 | LAC_TEN,67.59,40.11,1000.0,,,,,,,,False
2024,10,Week 10,2024-11-10 00:00:00+00:00,away,SF,TB,1.813497808410136,-123.0,0.5204287030454239,0.7423076330043236,0.3461732656194564,0.2218789299588996,1.0,9,Week 10 | SF_TB,67.59,54.98,1000.0,,,,,,,,False
2024,11,Week 11,2024-11-14 00:00:00+00:00,home,PHI,WAS,1.6931004174161153,-144.6,0.5625177037275639,0.612233967790008,0.036573586421587,0.0497162640624441,1.0,10,Week 11 | PHI_WAS,11.81,8.19,1000.0,,,,,,,,False
2024,11,Week 11,2024-11-17 00:00:00+00:00,away,BAL,PIT,1.864065950909859,-115.9,0.5106238708036558,0.6212100717744717,0.1579765431570623,0.1105862009708159,0.0,10,Week 11 | BAL_PIT,62.86,-62.86,1000.0,,,,,,,,False
2024,11,Week 11,2024-11-17 00:00:00+00:00,away,GB,CHI,1.5654000646714794,-177.1,0.6069204401239346,0.7559160250367813,0.1833109944787851,0.1489955849128467,1.0,10,Week 11 | CHI_GB,74.62,42.19,1000.0,,,,,,,,False
2024,11,Week 11,2024-11-17 00:00:00+00:00,home,NYJ,IND,1.7421724986821996,-134.9,0.5483291195098452,0.6594248217323845,0.1488317893705723,0.1110957022225392,0.0,10,Week 11 | IND_NYJ,69.26,-69.26,1000.0,,,,,,,,False
2024,11,Week 11,2024-11-17 00:00:00+00:00,away,LA,NE,1.7432068222025652,-134.6,0.5468902757859633,0.6186347018911069,0.0784082327878277,0.0717444261051436,1.0,10,Week 11 | LA_NE,23.61,17.55,1000.0,,,,,,,,False
2024,11,Week 11,2024-11-17 00:00:00+00:00,home,MIA,LV,1.388787860731852,-258.0,0.6839920595164789,0.7563420422663094,0.0503986468605878,0.0723499827498305,1.0,10,Week 11 | LV_MIA,29.16,11.34,1000.0,,,,,,,,False
2024,11,Week 11,2024-11-17 00:00:00+00:00,home,SF,SEA,1.5616413103831526,-178.3,0.6074938179755734,0.6791592568602531,0.0606031518420938,0.0716654388846796,0.0,10,Week 11 | SEA_SF,24.15,-24.15,1000.0,,,,,,,,False
2024,12,Week 12,2024-11-25 00:00:00+00:00,home,LAC,BAL,3.177,217.7,0.3030605004792192,0.3634918875521613,0.1548137267532164,0.060431387072942,0.0,11,Week 12 | BAL_LAC,15.09,-15.09,1000.0,,,,,,,,False
2024,13,Week 13,2024-12-01 00:00:00+00:00,away,LA,NO,1.7084638195708135,-141.3,0.5574459703754583,0.6025728650391752,0.0294739385745575,0.0451268946637168,1.0,12,Week 13 | LA_NO,8.73,6.18,1000.0,,,,,,,,False
2024,13,Week 13,2024-12-01 00:00:00+00:00,home,NYJ,SEA,1.871864934962708,-114.8,0.5122652724704375,0.5877747609574195,0.1002349646922813,0.075509488486982,0.0,12,Week 13 | NYJ_SEA,25.32,-25.32,1000.0,,,,,,,,False
2024,14,Week 14,2024-12-08 00:00:00+00:00,away,SEA,ARI,2.938,193.8,0.3267480890300113,0.3932890276514518,0.1554831632399654,0.0665409386214405,1.0,13,Week 14 | ARI_SEA,16.62,32.21,1000.0,,,,,,,,False
2024,15,Week 15,2024-12-12 00:00:00+00:00,away,LA,SF,2.924,192.4,0.3287906190081708,0.4090352368430402,0.1960190325290496,0.0802446178348694,1.0,14,Week 15 | LA_SF,24.07,46.31,1000.0,,,,,,,,False
2024,15,Week 15,2024-12-15 00:00:00+00:00,home,SEA,GB,3.008,200.8,0.3196581502645172,0.3908865814289938,0.1757868369384133,0.0712284311644765,0.0,14,Week 15 | GB_SEA,18.55,-18.55,1000.0,,,,,,,,False
2024,16,Week 16,2024-12-22 00:00:00+00:00,home,NYJ,LA,3.229,222.9,0.2982669059399066,0.3961013772812069,0.2790113472410173,0.0978344713413003,0.0,15,Week 16 | LA_NYJ,36.76,-36.76,1000.0,,,,,,,,False
2024,17,Week 17,2024-12-28 00:00:00+00:00,away,DEN,CIN,2.794,179.4,0.3437150706737131,0.4047064726032026,0.130749884453348,0.0609914019294894,0.0,16,Week 17 | CIN_DEN,15.35,-15.35,1000.0,,,,,,,,False
2024,17,Week 17,2024-12-29 00:00:00+00:00,away,ATL,WAS,2.916,191.6,0.3294252197852839,0.3853311916807126,0.1236257549409579,0.0559059718954287,0.0,16,Week 17 | ATL_WAS,13.59,-13.59,1000.0,,,,,,,,False
2024,17,Week 17,2024-12-29 00:00:00+00:00,home,JAX,TEN,1.7617063785510638,-131.5,0.4980133845843553,0.6076584600169763,0.0705157849924237,0.1096450754326209,1.0,16,Week 17 | JAX_TEN,29.69,22.62,1000.0,,,,,,,,False
2024,18,Week 18,2025-01-05 00:00:00+00:00,home,ATL,CAR,1.316257308127857,-316.22222222222223,0.7245447427852797,0.7914604872009027,0.0417656503726223,0.0669157444156229,0.0,17,Week 18 | ATL_CAR,27.69,-27.69,1000.0,,,,,,,,False
2024,18,Week 18,2025-01-05 00:00:00+00:00,home,GB,CHI,1.2687480200950243,-372.6666666666667,0.7521370430593161,0.8099424395124788,0.0276128665223914,0.0578053964531627,0.0,17,Week 18 | CHI_GB,21.54,-21.54,1000.0,,,,,,,,False
2024,18,Week 18,2025-01-05 00:00:00+00:00,away,CIN,PIT,1.886571600083239,-112.88888888888889,0.5076959809887213,0.5999535439230466,0.1318553173345118,0.0922575629343253,1.0,17,Week 18 | CIN_PIT,39.96,35.43,1000.0,,,,,,,,False
2024,18,Week 18,2025-01-05 00:00:00+00:00,home,TEN,HOU,1.8573416863654528,-116.66666666666669,0.5135878888975968,0.6398722570471564,0.188461416962434,0.1262843681495596,0.0,17,Week 18 | HOU_TEN,69.9,-69.9,1000.0,,,,,,,,False
2024,18,Week 18,2025-01-05 00:00:00+00:00,home,NYJ,MIA,1.94922922244536,-105.44444444444444,0.4908126745948344,0.611560296758722,0.1920712017294573,0.1207476221638876,1.0,17,Week 18 | MIA_NYJ,69.9,66.35,1000.0,,,,,,,,False
2024,18,Week 18,2025-01-05 00:00:00+00:00,home,PHI,NYG,1.783080233712929,-127.88888888888889,0.535087452893421,0.6550000719642555,0.1679176814000099,0.1199126190708345,1.0,17,Week 18 | NYG_PHI,69.9,54.74,1000.0,,,,,,,,False
2024,19,Wild Card,2025-01-12 00:00:00+00:00,home,PHI,GB,1.8498836041291693,-117.9090909090909,0.5176739228769295,0.623552359428948,0.1534992860236695,0.1058784365520185,1.0,18,Wild Card | GB_PHI,57.18,48.6,1000.0,,,,,,,,False
2024,20,Divisional,2025-01-18 00:00:00+00:00,home,KC,HOU,1.2210653584743807,-452.0,0.7845161930680699,0.8404471000184447,0.0262408394627758,0.0559309069503748,1.0,19,Divisional | HOU_KC,26.42,5.84,1000.0,,,,,,,,False
2024,21,Conference,2025-01-26 00:00:00+00:00,away,WAS,PHI,3.057692044931096,206.0,0.3132903943370157,0.3686819896552061,0.1273159868780923,0.0553915953181903,0.0,20,Conference | PHI_WAS,13.82,-13.82,1000.0,,,,,,,,False
